12-01 18:45:30 uvicorn.error:INFO   | Started server process [47185]
12-01 18:45:30 uvicorn.error:INFO   | Waiting for application startup.
12-01 18:45:30 uvicorn.error:INFO   | Application startup complete.
12-01 18:45:30 uvicorn.error:INFO   | Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
12-01 18:45:33 uvicorn.access:INFO   | 127.0.0.1:53116 - "GET / HTTP/1.1" 404
12-01 18:45:33 uvicorn.access:INFO   | 127.0.0.1:53116 - "GET /favicon.ico HTTP/1.1" 404
12-01 18:45:37 uvicorn.access:INFO   | 127.0.0.1:53116 - "GET /%D0%B2%D1%89%D1%81%D1%8B HTTP/1.1" 404
12-01 18:45:41 uvicorn.access:INFO   | 127.0.0.1:53116 - "GET /docs HTTP/1.1" 200
12-01 18:45:42 uvicorn.access:INFO   | 127.0.0.1:53116 - "GET /openapi.json HTTP/1.1" 200
12-01 18:45:44 uvicorn.error:INFO   | Shutting down
