13-01 15:32:16 uvicorn.error:INFO   | Started server process [64272]
13-01 15:32:16 uvicorn.error:INFO   | Waiting for application startup.
13-01 15:32:16 uvicorn.error:INFO   | Application startup complete.
13-01 15:32:16 uvicorn.error:INFO   | Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
13-01 15:32:19 uvicorn.access:INFO   | 127.0.0.1:61735 - "GET / HTTP/1.1" 404
13-01 15:32:19 uvicorn.access:INFO   | 127.0.0.1:61736 - "GET / HTTP/1.1" 404
13-01 15:32:23 uvicorn.access:INFO   | 127.0.0.1:61736 - "GET /docs HTTP/1.1" 200
13-01 15:32:23 uvicorn.access:INFO   | 127.0.0.1:61736 - "GET /openapi.json HTTP/1.1" 200
13-01 15:32:31 uvicorn.error:INFO   | Shutting down
